종목코드,종목명,시장구분,소속부,종가,대비,등락률,시가,고가,저가,거래량,거래대금,시가총액,상장주식수
060310,3S,KOSDAQ,중견기업부,2840,-145,-4.86,2965,3060,2830,2720630,7934959030,145080383280,51084642
095570,AJ네트웍스,KOSPI,,4755,-25,-0.52,4775,4850,4690,161625,769939775,215176869045,45252759
006840,AK홀딩스,KOSPI,,15000,-50,-0.33,15100,15100,14900,1737,26000060,198713415000,13247561
054620,APS,KOSDAQ,중견기업부,6620,200,3.12,6500,6670,6360,53659,347857390,131699743020,19894221
265520,AP시스템,KOSDAQ,우량기업부,25400,50,0.2,25700,25900,25200,235160,5983160200,388148093400,15281421
211270,AP위성,KOSDAQ,벤처기업부,15520,-20,-0.13,15510,15750,15220,332658,5146359620,234077358080,15082304
109960,AP헬스케어,KOSDAQ,중견기업부,760,21,2.84,739,770,722,496672,372586263,86755729760,114152276
139050,BF랩스,KOSDAQ,관리종목(소속부없음),2805,0,0.0,0,0,0,0,0,24247965555,8644551
027410,BGF,KOSPI,,3580,-45,-1.24,3625,3635,3560,153447,549471585,342666111780,95716791
282330,BGF리테일,KOSPI,,117000,-1700,-1.43,118700,120200,116900,49524,5854438200,2022217002000,17283906
126600,BGF에코머티리얼즈,KOSDAQ,우량기업부,4590,25,0.55,4565,4660,4540,174595,803106060,248012732250,54033275
138930,BNK금융지주,KOSPI,,8150,-100,-1.21,8250,8320,8110,548001,4472049460,2625020769700,322088438
001460,BYC,KOSPI,,36450,450,1.25,37000,37000,36000,1068,38691450,227672167500,6246150
001465,BYC우,KOSPI,,15200,40,0.26,15300,15300,15050,1373,20779090,32738520000,2153850
013720,CBI,KOSDAQ,중견기업부,1355,-35,-2.52,1390,1405,1347,319400,434304940,60471124280,44628136
083790,CG인바이츠,KOSDAQ,벤처기업부,2500,-25,-0.99,2490,2505,2395,242002,590012255,192235455000,76894182
001040,CJ,KOSPI,,122900,-2200,-1.76,125000,125400,119500,241467,29334921000,3585853054200,29176998
079160,CJ CGV,KOSPI,,5680,-40,-0.7,5780,5780,5650,412011,2342879730,695415776400,122432355
035760,CJ ENM,KOSDAQ GLOBAL,중견기업부,86200,-900,-1.03,87900,88300,86100,39042,3388893500,1890293074800,21929154
311690,CJ 바이오사이언스,KOSDAQ,기술성장기업부,13730,-170,-1.22,13900,13900,13630,11200,153385860,125114652460,9112502
00104K,CJ4우(전환),KOSPI,,85900,-900,-1.04,87000,88000,83700,26304,2229080000,363057380800,4226512
000120,CJ대한통운,KOSPI,,101800,0,0.0,102800,103400,100400,55357,5617043700,2322296619200,22812344
011150,CJ씨푸드,KOSPI,,4100,-195,-4.54,4340,4340,4090,2434340,10122682065,147316169300,35930773
011155,CJ씨푸드1우,KOSPI,,22000,-300,-1.35,22300,23100,21850,591,13045950,4400000000,200000
001045,CJ우,KOSPI,,60700,-200,-0.33,61800,61800,59800,2835,170313500,137195536100,2260223
097950,CJ제일제당,KOSPI,,339000,-4500,-1.31,344500,344500,337500,27821,9451191000,5103369054000,15054186
097955,CJ제일제당 우,KOSPI,,148400,-700,-0.47,149000,150000,147200,2509,371432700,196991057200,1327433
051500,CJ프레시웨이,KOSDAQ,우량기업부,21350,150,0.71,21200,21550,21100,21256,451385400,253458361100,11871586
058820,CMG제약,KOSDAQ,우량기업부,2080,0,0.0,2080,2095,2070,249925,518586830,288895867520,138892244
023460,CNH,KOSDAQ,중견기업부,1705,-35,-2.01,1701,1718,1695,7517,12820201,63426000000,37200000
056730,CNT85,KOSDAQ,중견기업부,999,-4,-0.4,995,1303,988,7842006,9276591711,74037074814,74111186
000480,CR홀딩스,KOSPI,,6110,30,0.49,6090,6130,6060,13411,81515870,286500893900,46890490
065770,CS,KOSDAQ,벤처기업부,1277,-17,-1.31,1290,1316,1277,25115,32629794,24788013010,19411130
083660,CSA 코스믹,KOSDAQ,중견기업부,1256,-66,-4.99,1300,1347,1218,181762,226797199,76926459336,61247181
000590,CS홀딩스,KOSPI,,68200,-1000,-1.45,69200,69900,67100,946,64892600,78735672400,1154482
012030,DB,KOSPI,,1355,-1,-0.07,1356,1363,1350,390467,528569531,272590679215,201173933
456440,DB금융스팩11호,KOSDAQ,SPAC(소속부없음),2250,5,0.22,2250,2250,2225,5292,11879285,11958750000,5315000
016610,DB금융투자,KOSPI,,4145,25,0.61,4140,4155,4085,23076,95178205,175940282405,42446389
005830,DB손해보험,KOSPI,,104200,-500,-0.48,104300,105400,103100,112127,11681476955,7377360000000,70800000
000990,DB하이텍,KOSPI,,43150,400,0.94,43250,44150,42500,406745,17676060750,1915799072200,44398588
139130,DGB금융지주,KOSPI,,8040,-20,-0.25,8070,8150,8000,403236,3242431320,1359932497320,169145833
060900,DGP,KOSDAQ,중견기업부,1372,15,1.11,1364,1384,1344,15912,21603792,34654290188,25258229
290120,DH오토리드,KOSDAQ,우량기업부,2910,15,0.52,2875,2940,2865,16471,47508080,45149051580,15515138
025440,DH오토웨어,KOSDAQ,중견기업부,435,0,0.0,432,446,426,107964,46663066,66949162200,153906120
001530,DI동일,KOSPI,,25850,350,1.37,25500,25850,25300,35940,921630450,651825121200,25215672
000210,DL,KOSPI,,56900,1500,2.71,55600,57700,54700,174887,9912114800,1192389799600,20955884
000215,DL우,KOSPI,,26900,800,3.07,25900,27250,25900,6858,182679700,45356493500,1686115
375500,DL이앤씨,KOSPI,,35150,300,0.86,34650,35800,34450,115451,4071464550,1360080848450,38693623
37550L,DL이앤씨2우(전환),KOSPI,,23950,100,0.42,23450,24100,23450,2392,57050450,50581226450,2111951
37550K,DL이앤씨우,KOSPI,,18370,120,0.66,18380,18870,17950,2988,54242740,38832067450,2113885
068790,DMS,KOSDAQ,우량기업부,6700,50,0.75,6640,6770,6550,69839,464594060,164639508700,24573061
007340,DN오토모티브,KOSPI,,81000,0,0.0,81300,82400,79800,15375,1244285300,809514405000,9994005
004840,DRB동일,KOSPI,,5560,-50,-0.89,5610,5650,5490,53827,298218190,110810800000,19930000
241520,DSC인베스트먼트,KOSDAQ,중견기업부,3590,-10,-0.28,3600,3630,3520,134471,478015170,98711088750,27496125
155660,DSR,KOSPI,,4410,45,1.03,4390,4545,4320,109857,488598175,70560000000,16000000
069730,DSR제강,KOSPI,,4745,315,7.11,4435,4930,4345,2500943,11722918835,68328000000,14400000
017860,DS단석,KOSPI,,92700,200,0.22,93400,95400,91800,60425,5645418500,543352150800,5861404
180400,DXVX,KOSDAQ,중견기업부,2740,65,2.43,2675,2835,2640,215435,582959910,82801243680,30219432
017940,E1,KOSPI,,72100,200,0.28,71500,73100,71000,26746,1925841900,494606000000,6860000
245620,EDGC,KOSDAQ,관리종목(소속부없음),415,0,0.0,0,0,0,0,0,57474989665,138493951
037370,EG,KOSDAQ,중견기업부,8680,-300,-3.34,8800,9060,8670,71378,629657350,74864756960,8624972
