종목코드,종목명,시장구분,업종명,종가,대비,등락률,시가총액
095570,AJ네트웍스,KOSPI,서비스업,4790,5,0.1,216760715610
006840,AK홀딩스,KOSPI,기타금융,14920,-80,-0.53,197653610120
027410,BGF,KOSPI,기타금융,3570,30,0.85,341708943870
282330,BGF리테일,KOSPI,유통업,116300,400,0.35,2010118267800
138930,BNK금융지주,KOSPI,기타금융,8170,-70,-0.85,2631462538460
001460,BYC,KOSPI,섬유의복,35850,-50,-0.14,223924477500
001465,BYC우,KOSPI,섬유의복,15170,-130,-0.85,32673904500
001040,CJ,KOSPI,기타금융,127500,200,0.16,3720067245000
079160,CJ CGV,KOSPI,서비스업,5720,70,1.24,700313070600
00104K,CJ4우(전환),KOSPI,기타금융,89100,-400,-0.45,376582219200
000120,CJ대한통운,KOSPI,운수창고업,101100,-2000,-1.94,2306327978400
011150,CJ씨푸드,KOSPI,음식료품,4810,-100,-2.04,172827018130
011155,CJ씨푸드1우,KOSPI,음식료품,21900,-1100,-4.78,4380000000
001045,CJ우,KOSPI,기타금융,61900,200,0.32,139907803700
097950,CJ제일제당,KOSPI,음식료품,363000,19500,5.68,5464669518000
097955,CJ제일제당 우,KOSPI,음식료품,156000,5800,3.86,207079548000
000480,CR홀딩스,KOSPI,비금속광물,6080,-40,-0.65,285094179200
000590,CS홀딩스,KOSPI,기타금융,69500,600,0.87,80236499000
012030,DB,KOSPI,서비스업,1350,0,0.0,271584809550
016610,DB금융투자,KOSPI,증권,4140,-15,-0.36,175728050460
005830,DB손해보험,KOSPI,보험,106800,1200,1.14,7561440000000
000990,DB하이텍,KOSPI,전기전자,42750,-700,-1.61,1898039637000
139130,DGB금융지주,KOSPI,기타금융,8060,-110,-1.35,1363315413980
001530,DI동일,KOSPI,유통업,25350,-150,-0.59,639217285200
000210,DL,KOSPI,화학,58100,-800,-1.36,1217536860400
000215,DL우,KOSPI,화학,27100,-900,-3.21,45693716500
375500,DL이앤씨,KOSPI,건설업,34600,-250,-0.72,1338799355800
37550L,DL이앤씨2우(전환),KOSPI,건설업,23600,-100,-0.42,49842043600
37550K,DL이앤씨우,KOSPI,건설업,17990,-350,-1.91,38028791150
007340,DN오토모티브,KOSPI,전기전자,80500,300,0.37,804517402500
004840,DRB동일,KOSPI,화학,5570,20,0.36,111010100000
155660,DSR,KOSPI,철강금속,4330,-70,-1.59,69280000000
069730,DSR제강,KOSPI,철강금속,4800,-35,-0.72,69120000000
017860,DS단석,KOSPI,화학,100200,2200,2.24,587312680800
017940,E1,KOSPI,유통업,70900,400,0.57,486374000000
365550,ESR켄달스퀘어리츠,KOSPI,서비스업,4890,-5,-0.1,1042005210000
383220,F&F,KOSPI,섬유의복,67400,-1800,-2.6,2581896855000
007700,F&F홀딩스,KOSPI,기타금융,15620,-280,-1.76,610966412540
114090,GKL,KOSPI,서비스업,13500,30,0.22,835051545000
078930,GS,KOSPI,기타금융,42700,-250,-0.58,3967486640600
006360,GS건설,KOSPI,건설업,14690,-130,-0.88,1257192088100
001250,GS글로벌,KOSPI,유통업,2435,35,1.46,200969715340
007070,GS리테일,KOSPI,유통업,21600,-650,-2.92,2261907115200
078935,GS우,KOSPI,기타금융,37000,100,0.27,66038562000
012630,HDC,KOSPI,기타금융,7890,-40,-0.5,471362178690
039570,HDC랩스,KOSPI,건설업,8860,-30,-0.34,229984344860
089470,HDC현대EP,KOSPI,화학,4270,50,1.18,136213000000
294870,HDC현대산업개발,KOSPI,건설업,17210,-220,-1.26,1134265149300
009540,HD한국조선해양,KOSPI,기타금융,134700,-300,-0.22,9533138725200
267250,HD현대,KOSPI,기타금융,67500,-600,-0.88,5332033237500
267270,HD현대건설기계,KOSPI,기계,55400,-1200,-2.12,1044129118400
443060,HD현대마린솔루션,KOSPI,서비스업,136700,5200,3.95,6076315000000
010620,HD현대미포,KOSPI,운수장비,69600,-400,-0.57,2779973570400
322000,HD현대에너지솔루션,KOSPI,전기전자,29200,150,0.52,327040000000
042670,HD현대인프라코어,KOSPI,기계,7860,-140,-1.75,1568883140580
267260,HD현대일렉트릭,KOSPI,전기전자,284500,24500,9.42,10255409907500
329180,HD현대중공업,KOSPI,운수장비,129400,-200,-0.15,11487241210400
097230,HJ중공업,KOSPI,건설업,3090,-5,-0.16,257317528290
014790,HL D&I,KOSPI,건설업,2150,40,1.9,81395992150
003580,HLB글로벌,KOSPI,유통업,4615,-10,-0.22,218801266580
204320,HL만도,KOSPI,운수장비,46750,-800,-1.68,2195245360000
060980,HL홀딩스,KOSPI,기타금융,34400,100,0.29,349827704000
011200,HMM,KOSPI,운수창고업,18410,-1090,-5.59,12685217121360
035000,HS애드,KOSPI,서비스업,6380,0,0.0,105700069420
003560,IHQ,KOSPI,서비스업,10760,0,0.0,59719334240
175330,JB금융지주,KOSPI,기타금융,13720,-390,-2.76,2676541476560
234080,JW생명과학,KOSPI,의약품,12070,-20,-0.17,191123066780
001060,JW중외제약,KOSPI,의약품,29450,-200,-0.67,685770638500
001067,JW중외제약2우B,KOSPI,의약품,58300,-100,-0.17,12241425900
001065,JW중외제약우,KOSPI,의약품,29150,0,0.0,9967871650
096760,JW홀딩스,KOSPI,기타금융,2895,-15,-0.52,214012707090
105560,KB금융,KOSPI,기타금융,78400,-1200,-1.51,31635268044800
432320,KB스타리츠,KOSPI,서비스업,4415,-65,-1.45,447744068275
002380,KCC,KOSPI,화학,285500,-10500,-3.55,2537087470500
344820,KCC글라스,KOSPI,비금속광물,40250,-100,-0.25,642813108000
009070,KCTC,KOSPI,운수창고업,4515,-140,-3.01,135450000000
009440,KC그린홀딩스,KOSPI,기타금융,1884,58,3.18,42267502320
119650,KC코트렐,KOSPI,기계,1108,20,1.84,70545569996
092220,KEC,KOSPI,전기전자,1382,-7,-0.5,277454660862
003620,KG모빌리티,KOSPI,운수장비,5450,-30,-0.55,1064020961800
016380,KG스틸,KOSPI,철강금속,6720,-70,-1.03,672059787840
001390,KG케미칼,KOSPI,화학,5200,30,0.58,356039008000
033180,KH 필룩스,KOSPI,전기전자,6630,0,0.0,125330728770
015590,KIB플러그에너지,KOSPI,기계,455,42,10.17,107826602520
001940,KISCO홀딩스,KOSPI,철강금속,20150,100,0.5,325954057000
025000,KPX케미칼,KOSPI,화학,47100,800,1.73,227964000000
092230,KPX홀딩스,KOSPI,화학,57400,-300,-0.52,242494680400
