종목코드,종목명,시장구분,업종명,종가,대비,등락률,시가총액
060310,3S,KOSDAQ,기계·장비,2800,-65,-2.27,143036997600
054620,APS,KOSDAQ,금융,6640,-220,-3.21,132097627440
265520,AP시스템,KOSDAQ,반도체,27350,1350,5.19,417946864350
211270,AP위성,KOSDAQ,통신장비,15740,100,0.64,237395464960
109960,AP헬스케어,KOSDAQ,유통,751,-15,-1.96,85728359276
139050,BF랩스,KOSDAQ,컴퓨터서비스,2805,0,0.0,24247965555
126600,BGF에코머티리얼즈,KOSDAQ,화학,4595,85,1.88,248282898625
013720,CBI,KOSDAQ,운송장비·부품,1383,21,1.54,61720712088
083790,CG인바이츠,KOSDAQ,기타서비스,2495,-20,-0.8,191850984090
035760,CJ ENM,KOSDAQ,방송서비스,85600,-200,-0.23,1877135582400
311690,CJ 바이오사이언스,KOSDAQ,기타서비스,13540,-100,-0.73,123383277080
051500,CJ프레시웨이,KOSDAQ,유통,21650,300,1.41,257019836900
058820,CMG제약,KOSDAQ,제약,2205,-5,-0.23,306257398020
023460,CNH,KOSDAQ,금융,1720,0,0.0,63984000000
056730,CNT85,KOSDAQ,건설,939,-11,-1.16,69590403654
065770,CS,KOSDAQ,통신장비,1298,-6,-0.46,25195646740
083660,CSA 코스믹,KOSDAQ,화학,1232,-4,-0.32,75456526992
456440,DB금융스팩11호,KOSDAQ,금융,2250,0,0.0,11958750000
060900,DGP,KOSDAQ,전기·가스·수도,1345,-5,-0.37,33972318005
290120,DH오토리드,KOSDAQ,운송장비·부품,2850,0,0.0,44218143300
025440,DH오토웨어,KOSDAQ,일반전기전자,443,5,1.14,68180411160
068790,DMS,KOSDAQ,기계·장비,6530,-130,-1.95,160462088330
241520,DSC인베스트먼트,KOSDAQ,금융,3790,100,2.71,104210313750
180400,DXVX,KOSDAQ,기타서비스,2845,-5,-0.18,85974284040
245620,EDGC,KOSDAQ,기타서비스,415,0,0.0,57474989665
037370,EG,KOSDAQ,화학,8710,30,0.35,75123506120
050120,ES큐브,KOSDAQ,유통,2320,20,0.87,31468679520
214270,FSN,KOSDAQ,출판·매체복제,2020,-40,-1.94,67165935260
130500,GH신소재,KOSDAQ,섬유·의류,2835,-20,-0.7,41235222420
900290,GRT,KOSDAQ,금융,3270,-100,-2.97,220316250000
083450,GST,KOSDAQ,반도체,41850,-1700,-3.9,389947628250
297890,HB솔루션,KOSDAQ,기계·장비,7390,390,5.57,540314810020
440290,HB인베스트먼트,KOSDAQ,금융,2635,20,0.76,71426971350
078150,HB테크놀러지,KOSDAQ,기계·장비,3030,145,5.03,280929225480
195940,HK이노엔,KOSDAQ,제약,36250,-1050,-2.82,1026958548750
028300,HLB,KOSDAQ,제약,59200,-400,-0.67,7746045548800
278650,HLB바이오스텝,KOSDAQ,기타서비스,2605,20,0.77,225933184345
067630,HLB생명과학,KOSDAQ,제약,9060,-240,-2.58,975325099620
024850,HLB이노베이션,KOSDAQ,반도체,3015,-60,-1.95,218219835825
047920,HLB제약,KOSDAQ,기타서비스,19650,-270,-1.36,624476882100
115450,HLB테라퓨틱스,KOSDAQ,유통,7180,-160,-2.18,569008810840
046210,HLB파나진,KOSDAQ,의료·정밀기기,3120,20,0.65,127965324240
403870,HPSP,KOSDAQ,반도체,40200,400,1.01,3333952588800
036640,HRS,KOSDAQ,화학,5660,40,0.71,92568168000
439730,IBKS제20호스팩,KOSDAQ,금융,2510,20,0.8,10818100000
442770,IBKS제21호스팩,KOSDAQ,금융,2445,-20,-0.81,10293450000
448760,IBKS제22호스팩,KOSDAQ,금융,2395,15,0.63,10609850000
467930,IBKS제23호스팩,KOSDAQ,금융,2200,5,0.23,9306000000
469480,IBKS제24호스팩,KOSDAQ,금융,2200,15,0.69,9306000000
095340,ISC,KOSDAQ,반도체,72300,300,0.42,1532547293400
099520,ITX-AI,KOSDAQ,통신장비,1284,0,0.0,58141862016
950170,JTC,KOSDAQ,유통,5370,120,2.29,277877888760
067290,JW신약,KOSDAQ,제약,1790,-5,-0.28,91006288580
035900,JYP Ent.,KOSDAQ,오락·문화,57700,-400,-0.69,2050224788400
318000,KBG,KOSDAQ,화학,7610,190,2.56,66513097030
024840,KBI메탈,KOSDAQ,금속,2955,40,1.37,103156683045
024120,KB오토시스,KOSDAQ,운송장비·부품,4350,-35,-0.8,50025000000
455250,KB제25호스팩,KOSDAQ,금융,2300,0,0.0,9901500000
458320,KB제26호스팩,KOSDAQ,금융,2485,0,0.0,13679925000
464680,KB제27호스팩,KOSDAQ,금융,2000,0,0.0,25810000000
476470,KB제28호스팩,KOSDAQ,금융,2105,10,0.48,11588025000
021320,KCC건설,KOSDAQ,건설,4490,-40,-0.88,96086000000
036670,KCI,KOSDAQ,화학,7380,70,0.96,83172600000
044180,KD,KOSDAQ,건설,538,0,0.0,14374175862
046440,KG모빌리언스,KOSDAQ,소프트웨어,5220,40,0.77,202669464960
151860,KG에코솔루션,KOSDAQ,화학,7850,-20,-0.25,389383565700
035600,KG이니시스,KOSDAQ,소프트웨어,11300,130,1.16,315320104200
226360,KH 건설,KOSDAQ,건설,2555,0,0.0,60698450260
111870,KH 미래물산,KOSDAQ,일반전기전자,8910,0,0.0,43928518590
060720,KH바텍,KOSDAQ,IT부품,14340,-90,-0.62,339534518280
058400,KNN,KOSDAQ,방송서비스,857,-4,-0.46,113492270040
122450,KX,KOSDAQ,방송서비스,4410,-60,-1.34,199931601240
052900,KX하이텍,KOSDAQ,반도체,1239,-21,-1.67,68278213563
376190,LB루셈,KOSDAQ,반도체,6240,30,0.48,153504000000
061970,LB세미콘,KOSDAQ,반도체,6710,-130,-1.9,293794612320
309960,LB인베스트먼트,KOSDAQ,금융,4775,65,1.38,110862316225
225190,LK삼양,KOSDAQ,의료·정밀기기,1812,13,0.72,91956173280
060370,LS마린솔루션,KOSDAQ,건설,18410,1320,7.72,477522851120
417200,LS머트리얼즈,KOSDAQ,일반전기전자,30850,3900,14.47,2087084530150
086960,MDS테크,KOSDAQ,소프트웨어,1670,-58,-3.36,146411885960
038340,MIT,KOSDAQ,일반전기전자,1233,0,0.0,39979891836
160550,NEW,KOSDAQ,오락·문화,3015,-20,-0.66,84136909590
053290,NE능률,KOSDAQ,출판·매체복제,4255,-75,-1.73,70319436285
060250,NHN KCP,KOSDAQ,소프트웨어,10040,260,2.66,403212534440
104200,NHN벅스,KOSDAQ,디지털컨텐츠,4320,445,11.48,64055016000
222160,NPX,KOSDAQ,기계·장비,8040,0,0.0,79551289560
024940,PN풍년,KOSDAQ,유통,4800,160,3.45,48000000000
218410,RFHIC,KOSDAQ,일반전기전자,16140,130,0.81,427458893880
327260,RF머트리얼즈,KOSDAQ,기타제조,10170,-170,-1.64,85765959270
091340,S&K폴리텍,KOSDAQ,IT부품,2780,-60,-2.11,32536344380
419530,SAMG엔터,KOSDAQ,오락·문화,10850,-430,-3.81,93211590500
019550,SBI인베스트먼트,KOSDAQ,금융,1008,75,8.04,163363107600
950110,SBI핀테크솔루션즈,KOSDAQ,출판·매체복제,3210,10,0.31,77208653400
036120,SCI평가정보,KOSDAQ,기타서비스,2390,-35,-1.44,84845000000
246960,SCL사이언스,KOSDAQ,제약,10370,-390,-3.62,75194539570
099220,SDN,KOSDAQ,유통,1636,21,1.3,91897082796
036540,SFA반도체,KOSDAQ,반도체,5420,-40,-0.73,891374842260
255220,SG,KOSDAQ,비금속,1426,76,5.63,87236847660
040610,SG&G,KOSDAQ,운송,1728,19,1.11,58902674688
049470,SGA,KOSDAQ,소프트웨어,490,0,0.0,28842502010
184230,SGA솔루션즈,KOSDAQ,소프트웨어,635,1,0.16,39750467235
016250,SGC E&C,KOSDAQ,건설,15940,-170,-1.06,51702744900
048550,SM C&C,KOSDAQ,방송서비스,2015,-10,-0.49,194863839300
063440,SM Life Design,KOSDAQ,출판·매체복제,1692,-11,-0.65,77881328568
067160,SOOP,KOSDAQ,소프트웨어,110500,-5400,-4.66,1270171753500
289080,SV인베스트먼트,KOSDAQ,금융,2185,15,0.69,116316290000
089230,THE E&M,KOSDAQ,인터넷,1852,-42,-2.22,37617381372
161570,THE MIDONG,KOSDAQ,정보기기,140,10,7.69,2953489560
032540,TJ미디어,KOSDAQ,일반전기전자,5770,-30,-0.52,80385383930
022220,TKG애강,KOSDAQ,화학,1166,5,0.43,60392479114
048770,TPC,KOSDAQ,기계·장비,3400,-15,-0.44,53373169400
246690,TS인베스트먼트,KOSDAQ,금융,1239,0,0.0,51391071018
317240,TS트릴리온,KOSDAQ,화학,326,-24,-6.86,34960540572
057030,YBM넷,KOSDAQ,기타서비스,3840,-5,-0.13,62640756480
040300,YTN,KOSDAQ,방송서비스,3655,-45,-1.22,153510000000
051390,YW,KOSDAQ,유통,3695,15,0.41,41958084760
052220,iMBC,KOSDAQ,디지털컨텐츠,2935,-55,-1.84,67505000000
079940,가비아,KOSDAQ,인터넷,15520,-110,-0.7,210073815680
078890,가온그룹,KOSDAQ,통신장비,5770,60,1.05,100456605890
399720,가온칩스,KOSDAQ,반도체,80400,-3600,-4.29,923660928000
036620,감성코퍼레이션,KOSDAQ,유통,4130,60,1.47,374776403960
217730,강스템바이오텍,KOSDAQ,제약,3580,15,0.42,200257771500
114190,강원에너지,KOSDAQ,일반전기전자,17770,1280,7.76,464206385260
094480,갤럭시아머니트리,KOSDAQ,소프트웨어,6450,180,2.87,253032455100
039240,경남스틸,KOSDAQ,금속,3115,-15,-0.48,84041466460
053950,경남제약,KOSDAQ,제약,1095,-23,-2.06,38974775190
011040,경동제약,KOSDAQ,제약,6440,-10,-0.16,198150853040
024910,경창산업,KOSDAQ,운송장비·부품,2530,15,0.6,90622082650
198440,고려시멘트,KOSDAQ,비금속,2240,210,10.34,71635110400
049720,고려신용정보,KOSDAQ,기타서비스,10680,-140,-1.29,152724000000
014570,고려제약,KOSDAQ,제약,6260,-20,-0.32,68860000000
348150,고바이오랩,KOSDAQ,기타서비스,7220,-140,-1.9,138245787520
950190,고스트스튜디오,KOSDAQ,출판·매체복제,10640,50,0.47,144490050880
098460,고영,KOSDAQ,기계·장비,13200,-330,-2.44,906242766000
035290,골드앤에스,KOSDAQ,출판·매체복제,640,-3,-0.47,29728360960
900280,골든센츄리,KOSDAQ,금융,97,0,0.0,19924215936
215000,골프존,KOSDAQ,소프트웨어,73400,1600,2.23,460615461000
121440,골프존뉴딘홀딩스,KOSDAQ,유통,3655,20,0.55,156568569790
366030,공구우먼,KOSDAQ,섬유·의류,6040,-120,-1.95,136829254000
014200,광림,KOSDAQ,운송장비·부품,1006,0,0.0,91250936176
029480,광무,KOSDAQ,통신장비,5860,110,1.91,280736209580
026910,광진실업,KOSDAQ,금속,3205,-20,-0.62,20529323025
421800,교보12호스팩,KOSDAQ,금융,2665,0,0.0,15936700000
440790,교보13호스팩,KOSDAQ,금융,2355,15,0.64,9537750000
456490,교보14호스팩,KOSDAQ,금융,2335,-5,-0.21,9807000000
465320,교보15호스팩,KOSDAQ,금융,2175,-15,-0.68,8286750000
053270,구영테크,KOSDAQ,운송장비·부품,2705,0,0.0,74145145525
066620,국보디자인,KOSDAQ,건설,16350,-40,-0.24,122625000000
043650,국순당,KOSDAQ,음식료·담배,5400,40,0.75,96434841600
006050,국영지앤엠,KOSDAQ,비금속,1154,-8,-0.69,40269110422
060480,국일신동,KOSDAQ,금속,2410,-40,-1.63,26726900000
078130,국일제지,KOSDAQ,종이·목재,800,0,0.0,901924696800
307750,국전약품,KOSDAQ,제약,5380,-20,-0.37,263992667220
035080,그래디언트,KOSDAQ,유통,16100,-210,-1.29,233894102400
204020,그리티,KOSDAQ,섬유·의류,3280,25,0.77,66083570400
402490,그린리소스,KOSDAQ,일반전기전자,26400,-950,-3.47,218220921600
114450,그린생명과학,KOSDAQ,제약,2020,0,0.0,40400000000
186230,그린플러스,KOSDAQ,금속,12190,200,1.67,131898091720
900070,글로벌에스엠,KOSDAQ,금융,440,-1,-0.23,23647345920
204620,글로벌텍스프리,KOSDAQ,금융,3985,-45,-1.12,226299574280
019660,글로본,KOSDAQ,유통,727,7,0.97,25292872342
053260,금강철강,KOSDAQ,금속,5420,-90,-1.63,101462400000
282720,금양그린파워,KOSDAQ,건설,15010,470,3.23,181913695000
036190,금화피에스시,KOSDAQ,건설,26500,250,0.95,159000000000
049080,기가레인,KOSDAQ,통신장비,798,-9,-1.12,67736910906
420770,기가비스,KOSDAQ,반도체,60900,-500,-0.81,771953662200
035460,기산텔레콤,KOSDAQ,통신장비,2190,-25,-1.13,31924374600
308100,까스텔바작,KOSDAQ,유통,3995,-10,-0.25,26465808335
407400,꿈비,KOSDAQ,기타제조,8380,-360,-4.12,102734392120
187790,나노,KOSDAQ,화학,1025,0,0.0,31611850750
286750,나노브릭,KOSDAQ,화학,1950,-20,-1.02,40354390050
121600,나노신소재,KOSDAQ,화학,120300,600,0.5,1467188183400
247660,나노씨엠에스,KOSDAQ,일반전기전자,10430,-50,-0.48,45307085600
039860,나노엔텍,KOSDAQ,의료·정밀기기,3960,610,18.21,127155924720
091970,나노캠텍,KOSDAQ,화학,641,-11,-1.69,23984613013
417010,나노팀,KOSDAQ,기계·장비,13730,80,0.59,270815023440
405920,나라셀라,KOSDAQ,유통,4760,-20,-0.42,61299641760
051490,나라엠앤디,KOSDAQ,기계·장비,4995,-15,-0.3,70929000000
137080,나래나노텍,KOSDAQ,기계·장비,5770,40,0.7,63812864940
190510,나무가,KOSDAQ,IT부품,13560,-40,-0.29,220545047040
242040,나무기술,KOSDAQ,출판·매체복제,2010,-20,-0.99,69558590640
089600,나스미디어,KOSDAQ,기타서비스,17150,60,0.35,198393995450
293580,나우IB,KOSDAQ,금융,912,3,0.33,87342240000
138610,나이벡,KOSDAQ,제약,16100,-200,-1.23,165548137300
130580,나이스디앤비,KOSDAQ,기타서비스,5780,-20,-0.34,89012000000
036800,나이스정보통신,KOSDAQ,통신서비스,21900,400,1.86,219000000000
267320,나인테크,KOSDAQ,IT부품,2990,25,0.84,130555670960
111710,남화산업,KOSDAQ,오락·문화,5430,60,1.12,111792840000
091590,남화토건,KOSDAQ,건설,4665,-5,-0.11,54767100000
168330,내츄럴엔도텍,KOSDAQ,기타서비스,2285,-15,-0.65,72559946500
094860,네오리진,KOSDAQ,소프트웨어,1575,-16,-1.01,33704321175
253590,네오셈,KOSDAQ,반도체,11260,-210,-1.83,493966786640
212560,네오오토,KOSDAQ,운송장비·부품,10420,-80,-0.76,82057114460
095660,네오위즈,KOSDAQ,디지털컨텐츠,20650,-200,-0.96,454996297350
